code,long_title,precision,recall,f1,tp,fp,fn,test_count,train_frequency
00BY0ZZ,"Excision of Lumbar Spinal Cord, Open Approach",0.0,0.0,0.0,0,1,4,4,20.0
00C00ZZ,"Extirpation of Matter from Brain, Open Approach",0.3333333322222222,0.1999999996,0.24999999468750006,1,2,4,5,26.0
00C30ZZ,"Extirpation of Matter from Intracranial Epidural Space, Open Approach",0.0,0.0,0.0,0,1,4,4,18.0
00C40ZZ,"Extirpation of Matter from Intracranial Subdural Space, Open Approach",0.5789473682686981,0.9565217387145557,0.7213114704756787,22,16,1,23,112.0
00C43ZZ,"Extirpation of Matter from Intracranial Subdural Space, Percutaneous Approach",0.23076923059171597,0.5999999988,0.33333332895061735,3,10,2,5,24.0
00C70ZZ,"Extirpation of Matter from Cerebral Hemisphere, Open Approach",0.16666666638888888,0.249999999375,0.1999999948000001,1,5,3,4,17.0
00CC0ZZ,"Extirpation of Matter from Cerebellum, Open Approach",0.3333333322222222,0.4999999975,0.39999999360000005,1,2,1,2,10.0
00CU0ZZ,"Extirpation of Matter from Spinal Canal, Open Approach",0.4999999975,0.4999999975,0.4999999925000001,1,1,1,2,11.0
00H00MZ,"Insertion of Neurostimulator Lead into Brain, Open Approach",0.0,0.0,0.0,0,0,2,2,9.0
00H032Z,"Insertion of Monitoring Device into Brain, Percutaneous Approach",0.0,0.0,0.0,0,0,3,3,14.0
00H03MZ,"Insertion of Neurostimulator Lead into Brain, Percutaneous Approach",0.8333333319444445,0.7142857132653061,0.7692307630769232,5,1,2,7,33.0
00H633Z,"Insertion of Infusion Device into Cerebral Ventricle, Percutaneous Approach",0.49999999875,0.999999995,0.6666666600000001,2,2,0,2,8.0
00HU03Z,"Insertion of Infusion Device into Spinal Canal, Open Approach",0.0,0.0,0.0,0,4,9,9,43.0
00HU33Z,"Insertion of Infusion Device into Spinal Canal, Percutaneous Approach",0.34999999982499996,0.12280701752231456,0.18181817792545124,7,13,50,57,278.0
00JU3ZZ,"Inspection of Spinal Canal, Percutaneous Approach",0.571428570612245,0.12121212117539026,0.1999999970125,4,3,29,33,121.0
00N00ZZ,"Release Brain, Open Approach",0.4999999995833333,0.5999999993999999,0.5454545399999999,6,6,4,10,47.0
00NC0ZZ,"Release Cerebellum, Open Approach",0.3333333329629629,0.9999999966666667,0.4999999954166666,3,6,0,3,15.0
00NK0ZZ,"Release Trigeminal Nerve, Open Approach",0.999999995,0.999999995,0.9999999900000001,2,0,0,2,10.0
00NW0ZZ,"Release Cervical Spinal Cord, Open Approach",0.22727272716942148,0.22727272716942148,0.22727272216942157,5,17,17,22,108.0
00NX0ZZ,"Release Thoracic Spinal Cord, Open Approach",0.2926829267578822,0.7999999994666667,0.42857142449617347,12,29,3,15,60.0
00NY0ZZ,"Release Lumbar Spinal Cord, Open Approach",0.0,0.0,0.0,0,4,17,17,85.0
00P60JZ,"Removal of Synthetic Substitute from Cerebral Ventricle, Open Approach",0.249999999375,0.9999999900000002,0.3999999952,1,3,0,1,8.0
00P630Z,"Removal of Drainage Device from Cerebral Ventricle, Percutaneous Approach",0.0,0.0,0.0,0,0,2,2,9.0
00P63JZ,"Removal of Synthetic Substitute from Cerebral Ventricle, Percutaneous Approach",0.4999999975,0.4999999975,0.4999999925000001,1,1,1,2,12.0
00P6X0Z,"Removal of Drainage Device from Cerebral Ventricle, External Approach",0.0,0.0,0.0,0,1,3,3,13.0
00PU0MZ,"Removal of Neurostimulator Lead from Spinal Canal, Open Approach",0.4999999975,0.9999999900000002,0.6666666577777778,1,1,0,1,8.0
00PV0MZ,"Removal of Neurostimulator Lead from Spinal Cord, Open Approach",0.0,0.0,0.0,0,1,1,1,8.0
00Q20ZZ,"Repair Dura Mater, Open Approach",0.0,0.0,0.0,0,0,6,6,16.0
00QT0ZZ,"Repair Spinal Meninges, Open Approach",0.4999999975,0.09090909082644627,0.15384615100591717,1,1,10,11,52.0
00U207Z,"Supplement Dura Mater with Autologous Tissue Substitute, Open Approach",0.571428570612245,0.3333333330555555,0.42105262648199443,4,3,8,12,61.0
00U20JZ,"Supplement Dura Mater with Synthetic Substitute, Open Approach",0.0,0.0,0.0,0,0,8,8,40.0
00U20KZ,"Supplement Dura Mater with Nonautologous Tissue Substitute, Open Approach",0.0,0.0,0.0,0,3,26,26,125.0
00UT07Z,"Supplement Spinal Meninges with Autologous Tissue Substitute, Open Approach",0.0,0.0,0.0,0,1,2,2,9.0
00UT0JZ,"Supplement Spinal Meninges with Synthetic Substitute, Open Approach",0.571428570612245,0.49999999937499995,0.5333333276444445,4,3,4,8,39.0
00UT0KZ,"Supplement Spinal Meninges with Nonautologous Tissue Substitute, Open Approach",0.249999999375,0.1999999996,0.2222222167901236,1,3,4,5,25.0
01N10ZZ,"Release Cervical Nerve, Open Approach",0.249999999375,0.09090909082644627,0.13333332924444455,1,3,10,11,55.0
01N30ZZ,"Release Brachial Plexus, Open Approach",0.49999999875,0.6666666644444444,0.5714285648979592,2,2,1,3,7.0
01N40ZZ,"Release Ulnar Nerve, Open Approach",0.2857142853061225,0.49999999875,0.36363635834710756,2,5,2,4,21.0
01N50ZZ,"Release Median Nerve, Open Approach",0.26086956510396975,0.4999999995833333,0.34285713815510205,6,17,6,12,53.0
01N60ZZ,"Release Radial Nerve, Open Approach",0.0,0.0,0.0,0,1,2,2,12.0
01N80ZZ,"Release Thoracic Nerve, Open Approach",0.0,0.0,0.0,0,0,8,8,24.0
01NB0ZZ,"Release Lumbar Nerve, Open Approach",0.49193548383129554,0.7624999999046875,0.5980392108602461,61,63,19,80,398.0
01NR0ZZ,"Release Sacral Nerve, Open Approach",0.0,0.0,0.0,0,6,4,4,19.0
01Q40ZZ,"Repair Ulnar Nerve, Open Approach",0.0,0.0,0.0,0,0,4,4,20.0
01Q50ZZ,"Repair Median Nerve, Open Approach",0.0,0.0,0.0,0,0,2,2,11.0
01Q60ZZ,"Repair Radial Nerve, Open Approach",0.0,0.0,0.0,0,1,2,2,12.0
0210093,"Bypass Coronary Artery, One Artery from Coronary Artery with Autologous Venous Tissue, Open Approach",0.0,0.0,0.0,0,1,4,4,19.0
0210099,"Bypass Coronary Artery, One Artery from Left Internal Mammary with Autologous Venous Tissue, Open Approach",0.0,0.0,0.0,0,0,9,9,35.0
021009W,"Bypass Coronary Artery, One Artery from Aorta with Autologous Venous Tissue, Open Approach",0.7926829267325997,0.9420289853707206,0.8609271472409105,65,17,4,69,347.0
02100A3,"Bypass Coronary Artery, One Artery from Coronary Artery with Autologous Arterial Tissue, Open Approach",0.0,0.0,0.0,0,0,2,2,7.0
02100A8,"Bypass Coronary Artery, One Artery from Right Internal Mammary with Autologous Arterial Tissue, Open Approach",0.0,0.0,0.0,0,0,2,2,11.0
02100A9,"Bypass Coronary Artery, One Artery from Left Internal Mammary with Autologous Arterial Tissue, Open Approach",0.0,0.0,0.0,0,0,5,5,22.0
02100AW,"Bypass Coronary Artery, One Artery from Aorta with Autologous Arterial Tissue, Open Approach",0.7777777776049383,0.8974358972057856,0.8333333281604308,35,10,4,39,198.0
02100Z8,"Bypass Coronary Artery, One Artery from Right Internal Mammary, Open Approach",0.6382978722046174,0.8333333331018519,0.7228915611786908,30,17,6,36,166.0
02100Z9,"Bypass Coronary Artery, One Artery from Left Internal Mammary, Open Approach",0.9153605015387034,0.9700996677418571,0.9419354788447971,292,27,9,301,1416.0
0211093,"Bypass Coronary Artery, Two Arteries from Coronary Artery with Autologous Venous Tissue, Open Approach",0.0,0.0,0.0,0,0,2,2,11.0
021109W,"Bypass Coronary Artery, Two Arteries from Aorta with Autologous Venous Tissue, Open Approach",0.8264462809234342,0.8620689654429251,0.8438818514710963,100,21,16,116,496.0
02110A9,"Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Autologous Arterial Tissue, Open Approach",0.0,0.0,0.0,0,0,2,2,9.0
02110AW,"Bypass Coronary Artery, Two Arteries from Aorta with Autologous Arterial Tissue, Open Approach",0.4999999975,0.16666666638888888,0.24999999562500003,1,1,5,6,30.0
02110Z8,"Bypass Coronary Artery, Two Arteries from Right Internal Mammary, Open Approach",0.6363636357851239,0.7777777769135802,0.69999999435,7,4,2,9,41.0
02110Z9,"Bypass Coronary Artery, Two Arteries from Left Internal Mammary, Open Approach",0.759999999696,0.7916666663368055,0.7755101987671804,19,6,5,24,118.0
0212093,"Bypass Coronary Artery, Three Arteries from Coronary Artery with Autologous Venous Tissue, Open Approach",0.0,0.0,0.0,0,0,3,3,17.0
021209W,"Bypass Coronary Artery, Three Arteries from Aorta with Autologous Venous Tissue, Open Approach",0.8552631577822023,0.8904109587821356,0.8724832163614253,65,11,8,73,366.0
02120Z9,"Bypass Coronary Artery, Three Arteries from Left Internal Mammary, Open Approach",0.0,0.0,0.0,0,0,2,2,10.0
021309W,"Bypass Coronary Artery, Four or More Arteries from Aorta with Autologous Venous Tissue, Open Approach",0.7692307689349113,0.9523809519274377,0.8510638244816661,20,6,1,21,94.0
02570ZK,"Destruction of Left Atrial Appendage, Open Approach",0.45454545413223135,0.7142857132653061,0.5555555501851852,5,6,2,7,19.0
02580ZZ,"Destruction of Conduction Mechanism, Open Approach",0.8148148145130315,0.9166666662847222,0.8627450927181852,22,5,2,24,114.0
02583ZZ,"Destruction of Conduction Mechanism, Percutaneous Approach",0.7096774192403746,0.9777777775604938,0.8224299015145428,44,18,1,45,214.0
025M3ZZ,"Destruction of Ventricular Septum, Percutaneous Approach",0.4999999975,0.4999999975,0.4999999925000001,1,1,1,2,7.0
025S0ZZ,"Destruction of Right Pulmonary Vein, Open Approach",0.0,0.0,0.0,0,5,2,2,7.0
0270346,"Dilation of Coronary Artery, One Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach",0.0,0.0,0.0,0,0,4,4,18.0
027034Z,"Dilation of Coronary Artery, One Artery with Drug-eluting Intraluminal Device, Percutaneous Approach",0.697802197763857,0.9407407406710562,0.8012618247123566,127,55,8,135,700.0
027035Z,"Dilation of Coronary Artery, One Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Approach",0.4736842104432133,0.7941176468252595,0.5934065885955803,27,30,7,34,145.0
027036Z,"Dilation of Coronary Artery, One Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Approach",0.30769230745562126,0.7999999984,0.4444444399382716,4,9,1,5,27.0
02703DZ,"Dilation of Coronary Artery, One Artery with Intraluminal Device, Percutaneous Approach",0.7142857137755102,0.9090909082644627,0.799999994432,10,4,1,11,46.0
02703ZZ,"Dilation of Coronary Artery, One Artery, Percutaneous Approach",0.4642857142028061,0.702702702512783,0.5591397800346862,26,30,11,37,164.0
027134Z,"Dilation of Coronary Artery, Two Arteries with Drug-eluting Intraluminal Device, Percutaneous Approach",0.6363636357851239,0.5833333328472222,0.6086956466540643,7,4,5,12,60.0
027135Z,"Dilation of Coronary Artery, Two Arteries with Two Drug-eluting Intraluminal Devices, Percutaneous Approach",0.3999999998,0.470588235017301,0.43243242723155584,8,12,9,17,64.0
027136Z,"Dilation of Coronary Artery, Two Arteries with Three Drug-eluting Intraluminal Devices, Percutaneous Approach",0.0,0.0,0.0,0,2,5,5,24.0
02713ZZ,"Dilation of Coronary Artery, Two Arteries, Percutaneous Approach",0.0,0.0,0.0,0,0,2,2,12.0
027234Z,"Dilation of Coronary Artery, Three Arteries with Drug-eluting Intraluminal Device, Percutaneous Approach",0.4999999975,0.4999999975,0.4999999925000001,1,1,1,2,9.0
027236Z,"Dilation of Coronary Artery, Three Arteries with Three Drug-eluting Intraluminal Devices, Percutaneous Approach",0.0,0.0,0.0,0,0,2,2,8.0
027F3ZZ,"Dilation of Aortic Valve, Percutaneous Approach",0.7999999984,0.6666666655555555,0.7272727209917357,4,1,2,6,24.0
027V3DZ,"Dilation of Superior Vena Cava with Intraluminal Device, Percutaneous Approach",0.0,0.0,0.0,0,0,1,1,8.0
027V3ZZ,"Dilation of Superior Vena Cava, Percutaneous Approach",0.9999999975,0.7999999984,0.8888888819753088,4,0,1,5,24.0
02B50ZZ,"Excision of Atrial Septum, Open Approach",0.33333333277777777,0.999999995,0.49999999500000003,2,4,0,2,9.0
02B70ZK,"Excision of Left Atrial Appendage, Open Approach",0.7499999981250001,0.5999999988,0.6666666602469137,3,1,2,5,24.0
02B70ZZ,"Excision of Left Atrium, Open Approach",0.6666666644444444,0.999999995,0.799999992,2,1,0,2,8.0
02BF0ZZ,"Excision of Aortic Valve, Open Approach",0.4999999975,0.9999999900000002,0.6666666577777778,1,1,0,1,8.0
02BG0ZZ,"Excision of Mitral Valve, Open Approach",0.749999999765625,0.9230769227218935,0.8275862016646851,24,8,2,26,131.0
02BK3ZX,"Excision of Right Ventricle, Percutaneous Approach, Diagnostic",0.7692307686390532,0.7692307686390532,0.7692307636390532,10,3,3,13,29.0
02BN0ZZ,"Excision of Pericardium, Open Approach",0.49999999875,0.6666666644444444,0.5714285648979592,2,2,1,3,13.0
02C03ZZ,"Extirpation of Matter from Coronary Artery, One Artery, Percutaneous Approach",0.8461538455029586,0.439999999824,0.5789473636149586,11,2,14,25,88.0
02C13ZZ,"Extirpation of Matter from Coronary Artery, Two Arteries, Percutaneous Approach",0.0,0.0,0.0,0,0,2,2,7.0
02CN0ZZ,"Extirpation of Matter from Pericardium, Open Approach",0.0,0.0,0.0,0,0,2,2,9.0
02H43JZ,"Insertion of Pacemaker Lead into Coronary Vein, Percutaneous Approach",0.3999999992,0.6666666644444444,0.49999999406250006,2,3,1,3,17.0
02H43KZ,"Insertion of Defibrillator Lead into Coronary Vein, Percutaneous Approach",0.0,0.0,0.0,0,1,3,3,16.0
02H633Z,"Insertion of Infusion Device into Right Atrium, Percutaneous Approach",0.7081712061981256,0.5515151514984389,0.6201022097069673,182,75,148,330,1477.0
02H63JZ,"Insertion of Pacemaker Lead into Right Atrium, Percutaneous Approach",0.8214285713552296,0.96842105252964,0.888888883836729,92,20,3,95,427.0
02H63KZ,"Insertion of Defibrillator Lead into Right Atrium, Percutaneous Approach",0.44444444427983537,0.5999999997,0.5106382927659575,12,15,8,20,76.0
02HA0QZ,"Insertion of Implantable Heart Assist System into Heart, Open Approach",0.9999999985714286,0.8749999989062499,0.933333327111111,7,0,1,8,24.0
02HA3RJ,"Insertion of Short-term External Heart Assist System into Heart, Intraoperative, Percutaneous Approach",0.0,0.0,0.0,0,0,3,3,12.0
02HA3RZ,"Insertion of Short-term External Heart Assist System into Heart, Percutaneous Approach",0.6521739127599243,0.9999999993333333,0.7894736790166205,15,8,0,15,76.0
02HK3JZ,"Insertion of Pacemaker Lead into Right Ventricle, Percutaneous Approach",0.8728813558582305,0.9537037036153979,0.9115044197078864,103,15,5,108,495.0
02HK3KZ,"Insertion of Defibrillator Lead into Right Ventricle, Percutaneous Approach",0.6521739129017013,0.8571428568979592,0.7407407356500535,30,16,5,35,136.0
02HK3NZ,"Insertion of Intracardiac Pacemaker into Right Ventricle, Percutaneous Approach",0.999999995,0.999999995,0.9999999900000001,2,0,0,2,8.0
02HL3JZ,"Insertion of Pacemaker Lead into Left Ventricle, Percutaneous Approach",0.2857142853061225,0.33333333277777777,0.3076923022485208,2,5,4,6,30.0
02HL3KZ,"Insertion of Defibrillator Lead into Left Ventricle, Percutaneous Approach",0.3333333322222222,0.249999999375,0.28571428000000004,1,2,3,4,19.0
02HN0KZ,"Insertion of Defibrillator Lead into Pericardium, Open Approach",0.1999999996,0.4999999975,0.28571428081632655,1,4,1,2,10.0
02HP32Z,"Insertion of Monitoring Device into Pulmonary Trunk, Percutaneous Approach",0.4482758619143876,0.33333333324786324,0.3823529361721454,13,16,26,39,165.0
02HQ32Z,"Insertion of Monitoring Device into Right Pulmonary Artery, Percutaneous Approach",0.3095238094501134,0.34210526306786704,0.32499999493125004,13,29,25,38,167.0
02HQ33Z,"Insertion of Infusion Device into Right Pulmonary Artery, Percutaneous Approach",0.3999999992,0.999999995,0.5714285657142857,2,3,0,2,9.0
02HR33Z,"Insertion of Infusion Device into Left Pulmonary Artery, Percutaneous Approach",0.49999999875,0.999999995,0.6666666600000001,2,2,0,2,10.0
02HV33Z,"Insertion of Infusion Device into Superior Vena Cava, Percutaneous Approach",0.6099691675199899,0.7550890585193697,0.6748152309821787,1187,759,385,1572,6904.0
02JA3ZZ,"Inspection of Heart, Percutaneous Approach",0.0,0.0,0.0,0,2,2,2,8.0
02K83ZZ,"Map Conduction Mechanism, Percutaneous Approach",0.6730769229474852,0.9722222219521605,0.7954545404390496,35,17,1,36,154.0
02L70CK,"Occlusion of Left Atrial Appendage with Extraluminal Device, Open Approach",0.6842105259556787,0.8666666660888889,0.7647058769723183,13,6,2,15,77.0
02L70ZK,"Occlusion of Left Atrial Appendage, Open Approach",0.5517241377407848,0.8421052627146814,0.6666666616059028,16,13,3,19,74.0
02L73DK,"Occlusion of Left Atrial Appendage with Intraluminal Device, Percutaneous Approach",0.999999995,0.999999995,0.9999999900000001,2,0,0,2,11.0
02PA0MZ,"Removal of Cardiac Lead from Heart, Open Approach",0.9999999900000002,0.249999999375,0.3999999952,1,0,3,4,12.0
02PA0RZ,"Removal of Short-term External Heart Assist System from Heart, Open Approach",0.0,0.0,0.0,0,1,1,1,8.0
02PA33Z,"Removal of Infusion Device from Heart, Percutaneous Approach",0.0,0.0,0.0,0,0,5,5,14.0
02PA3MZ,"Removal of Cardiac Lead from Heart, Percutaneous Approach",0.6538461535946746,0.8499999995749999,0.7391304295463138,17,9,3,20,97.0
02PA3RZ,"Removal of Short-term External Heart Assist System from Heart, Percutaneous Approach",0.3999999996,0.49999999937499995,0.4444444390123457,4,6,4,8,42.0
02PAX3Z,"Removal of Infusion Device from Heart, External Approach",0.12499999984374999,0.0999999999,0.11111110604938293,1,7,9,10,48.0
02PY33Z,"Removal of Infusion Device from Great Vessel, Percutaneous Approach",0.0,0.0,0.0,0,1,12,12,62.0
02PYX3Z,"Removal of Infusion Device from Great Vessel, External Approach",0.6666666644444444,0.1111111110493827,0.190476187845805,2,1,16,18,88.0
02Q50ZZ,"Repair Atrial Septum, Open Approach",0.6428571423979591,0.9999999988888888,0.7826086902079396,9,5,0,9,46.0
02QF0ZZ,"Repair Aortic Valve, Open Approach",0.7499999981250001,0.9999999966666667,0.8571428497959185,3,1,0,3,14.0
02QG0ZZ,"Repair Mitral Valve, Open Approach",0.0,0.0,0.0,0,1,5,5,26.0
02QK0ZZ,"Repair Right Ventricle, Open Approach",0.0,0.0,0.0,0,0,2,2,9.0
02RF08Z,"Replacement of Aortic Valve with Zooplastic Tissue, Open Approach",0.874999999939236,0.9921259841738485,0.9298892938440382,126,18,1,127,553.0
02RF0JZ,"Replacement of Aortic Valve with Synthetic Substitute, Open Approach",0.9285714282397959,0.8666666663777778,0.8965517188347206,26,2,4,30,146.0
02RF0KZ,"Replacement of Aortic Valve with Nonautologous Tissue Substitute, Open Approach",0.0,0.0,0.0,0,0,4,4,20.0
02RF38Z,"Replacement of Aortic Valve with Zooplastic Tissue, Percutaneous Approach",0.8787878786991123,0.9775280897778059,0.925531909809303,87,12,2,89,354.0
02RF3JZ,"Replacement of Aortic Valve with Synthetic Substitute, Percutaneous Approach",0.0,0.0,0.0,0,0,2,2,9.0
02RG08Z,"Replacement of Mitral Valve with Zooplastic Tissue, Open Approach",0.7647058821280277,0.8965517238287752,0.8253968201662888,26,8,3,29,123.0
02RG0JZ,"Replacement of Mitral Valve with Synthetic Substitute, Open Approach",0.9999999988888888,0.8999999991,0.9473684150692521,9,0,1,10,46.0
02RG38Z,"Replacement of Mitral Valve with Zooplastic Tissue, Percutaneous Approach",0.9999999966666667,0.9999999966666667,0.9999999916666666,3,0,0,3,18.0
02RJ08Z,"Replacement of Tricuspid Valve with Zooplastic Tissue, Open Approach",0.9999999966666667,0.9999999966666667,0.9999999916666666,3,0,0,3,11.0
02RW0JZ,"Replacement of Thoracic Aorta, Descending with Synthetic Substitute, Open Approach",0.9999999900000002,0.0999999999,0.18181817983471074,1,0,9,10,49.0
02RX08Z,"Replacement of Thoracic Aorta, Ascending/Arch with Zooplastic Tissue, Open Approach",0.0,0.0,0.0,0,2,1,1,8.0
02RX0JZ,"Replacement of Thoracic Aorta, Ascending/Arch with Synthetic Substitute, Open Approach",0.7826086953119092,0.7499999996875,0.7659574414848348,18,5,6,24,122.0
02U508Z,"Supplement Atrial Septum with Zooplastic Tissue, Open Approach",0.9999999900000002,0.4999999975,0.6666666577777778,1,0,1,2,9.0
02U53JZ,"Supplement Atrial Septum with Synthetic Substitute, Percutaneous Approach",0.3333333322222222,0.4999999975,0.39999999360000005,1,2,1,2,12.0
02UG08Z,"Supplement Mitral Valve with Zooplastic Tissue, Open Approach",0.0,0.0,0.0,0,0,1,1,8.0
02UG0JZ,"Supplement Mitral Valve with Synthetic Substitute, Open Approach",0.9444444442695473,0.9999999998039215,0.9714285662476191,51,3,0,51,249.0
02UG3JZ,"Supplement Mitral Valve with Synthetic Substitute, Percutaneous Approach",0.999999999375,0.999999999375,0.999999994375,16,0,0,16,82.0
02UJ0JZ,"Supplement Tricuspid Valve with Synthetic Substitute, Open Approach",0.9545454541115702,0.9130434778638941,0.9333333279209876,21,1,2,23,94.0
02UN08Z,"Supplement Pericardium with Zooplastic Tissue, Open Approach",0.4999999975,0.4999999975,0.4999999925000001,1,1,1,2,9.0
02UX08Z,"Supplement Thoracic Aorta, Ascending/Arch with Zooplastic Tissue, Open Approach",0.9999999975,0.7999999984,0.8888888819753088,4,0,1,5,25.0
02VW3DZ,"Restriction of Thoracic Aorta, Descending with Intraluminal Device, Percutaneous Approach",0.4736842102770083,0.8181818174380164,0.5999999949555557,9,10,2,11,50.0
02VX3DZ,"Restriction of Thoracic Aorta, Ascending/Arch with Intraluminal Device, Percutaneous Approach",0.16666666638888888,0.4999999975,0.24999999562500003,1,5,1,2,11.0
02WA3MZ,"Revision of Cardiac Lead in Heart, Percutaneous Approach",0.999999995,0.49999999875,0.6666666600000001,2,0,2,4,18.0
02WY33Z,"Revision of Infusion Device in Great Vessel, Percutaneous Approach",0.0,0.0,0.0,0,1,3,3,17.0
02WYX3Z,"Revision of Infusion Device in Great Vessel, External Approach",0.0,0.0,0.0,0,0,2,2,11.0
03180ZD,"Bypass Left Brachial Artery to Upper Arm Vein, Open Approach",0.1999999996,0.4999999975,0.28571428081632655,1,4,1,2,11.0
03773ZZ,"Dilation of Right Brachial Artery, Percutaneous Approach",0.0,0.0,0.0,0,2,2,2,10.0
03783ZZ,"Dilation of Left Brachial Artery, Percutaneous Approach",0.0,0.0,0.0,0,1,4,4,21.0
037G3ZZ,"Dilation of Intracranial Artery, Percutaneous Approach",0.0,0.0,0.0,0,1,2,2,7.0
037K3DZ,"Dilation of Right Internal Carotid Artery with Intraluminal Device, Percutaneous Approach",0.9999999966666667,0.5999999988,0.7499999934375,3,0,2,5,23.0
037L3DZ,"Dilation of Left Internal Carotid Artery with Intraluminal Device, Percutaneous Approach",0.24999999968749997,0.3999999992,0.3076923024852071,2,6,3,5,23.0
